season,date,home_team,away_team,y,m4_p_away,m4_p_draw,m4_p_home,ps_open_home,ps_open_draw,ps_open_away,ps_close_home,ps_close_draw,ps_close_away
2425,2025-01-18,Heidenheim,St Pauli,0,0.20337263853916593,0.2703736841845327,0.5262536772763013,2.43,3.5,2.97,2.41,3.46,3.09
2425,2025-01-18,Kiel,Hoffenheim,0,0.287984527497504,0.2853279140673957,0.4266875584351003,2.94,3.63,2.39,2.99,3.53,2.44
2425,2025-01-18,Leverkusen,M'gladbach,2,0.15392122042939074,0.11090467549820937,0.7351741040723999,1.27,6.29,9.26,1.26,6.52,11.25
2425,2025-01-18,Stuttgart,Freiburg,2,0.14952028737582107,0.25829527633186,0.592184436292319,1.67,4.39,4.78,1.61,4.37,5.54
2425,2025-01-19,Union Berlin,Mainz,2,0.4300006956568293,0.17978559428539242,0.3902137100577782,2.63,3.2,2.94,2.86,3.15,2.78
2425,2025-01-19,Werder Bremen,Augsburg,0,0.11780699696492734,0.28259790662154133,0.5995950964135313,1.88,3.79,4.19,1.91,3.73,4.2
2425,2025-01-24,Wolfsburg,Kiel,1,0.1678942390679614,0.22056387680048317,0.6115418841315555,1.44,5.08,7.11,1.47,4.94,6.39
2425,2025-01-25,Augsburg,Heidenheim,2,0.33661568506902134,0.36240793968289275,0.3009763752480859,1.91,3.65,4.22,2.01,3.56,3.98
2425,2025-01-25,Dortmund,Werder Bremen,1,0.13136857066459878,0.10264598111151982,0.7659854482238814,1.63,4.44,5.03,1.52,4.8,6.0
2425,2025-01-25,Freiburg,Bayern Munich,0,0.5925617042700045,0.2088109589532755,0.19862733677671998,8.98,5.78,1.33,13.24,6.82,1.23
2425,2025-01-25,M'gladbach,Bochum,2,0.19274095807241937,0.2107543751993042,0.5965046667282764,1.72,4.12,4.66,1.77,4.09,4.52
2425,2025-01-25,Mainz,Stuttgart,2,0.39459260390565043,0.2205868826150206,0.3848205134793291,2.88,3.55,2.47,3.38,3.46,2.26
2425,2025-01-25,RB Leipzig,Leverkusen,1,0.3535123680935246,0.1847910112693334,0.461696620637142,3.79,4.03,1.92,3.63,3.54,2.13
2425,2025-01-26,Hoffenheim,Ein Frankfurt,1,0.48539790233839675,0.14857645665781188,0.36602564100379137,3.16,3.58,2.29,3.43,3.88,2.09
2425,2025-01-26,St Pauli,Union Berlin,2,0.3070992121498577,0.23167745047634544,0.4612233373737968,2.53,3.15,3.12,2.39,3.2,3.37
2425,2025-01-31,Werder Bremen,Mainz,2,0.3081036436154101,0.2939693500481639,0.39792700633642597,2.35,3.46,3.19,2.4,3.45,3.13
2425,2025-02-01,Bayern Munich,Kiel,2,0.10985859708767953,0.1927400082636696,0.6974013946486508,1.05,17.7,41.8,1.04,18.0,51.0
2425,2025-02-01,Bochum,Freiburg,0,0.31894344414851866,0.23443169868142583,0.44662485717005546,2.88,3.42,2.54,2.74,3.35,2.74
2425,2025-02-01,Heidenheim,Dortmund,0,0.49341692111543295,0.28179965005772617,0.22478342882684085,4.49,4.04,1.76,4.82,4.11,1.72
2425,2025-02-01,St Pauli,Augsburg,1,0.29703008788303875,0.1830346947841763,0.5199352173327849,2.38,3.2,3.32,2.15,3.32,3.83
2425,2025-02-01,Stuttgart,M'gladbach,0,0.1736292997015769,0.2171983620035046,0.6091723382949186,1.58,4.65,5.2,1.68,4.31,4.94
2425,2025-02-01,Union Berlin,RB Leipzig,1,0.5173795750866644,0.165179150883223,0.31744127403011246,3.2,3.52,2.29,2.96,3.47,2.49
2425,2025-02-02,Ein Frankfurt,Wolfsburg,1,0.17311173702827687,0.20283943966365547,0.6240488233080677,1.99,3.8,3.72,2.11,3.58,3.63
2425,2025-02-02,Leverkusen,Hoffenheim,2,0.11637536303589174,0.12897948721076247,0.7546451497533458,1.23,7.29,10.7,1.14,9.66,18.88
2425,2025-02-07,Bayern Munich,Werder Bremen,2,0.08299524843379351,0.13719143951651416,0.7798133120496924,1.09,12.89,20.27,1.1,12.94,20.92
2425,2025-02-08,Dortmund,Stuttgart,0,0.2807395658543412,0.1320420194393419,0.5872184147063169,1.88,3.93,3.98,2.0,3.95,3.62
2425,2025-02-08,Freiburg,Heidenheim,2,0.19893075000614072,0.3325364611766998,0.4685327888171595,1.74,3.99,4.77,1.71,3.81,5.41
2425,2025-02-08,Hoffenheim,Union Berlin,0,0.3075974866119193,0.23723155446334668,0.4551709589247341,2.26,3.6,3.2,2.38,3.57,3.06
2425,2025-02-08,M'gladbach,Ein Frankfurt,1,0.44405277197871523,0.24726632198156406,0.30868090603972065,2.62,3.7,2.63,2.59,3.73,2.68
2425,2025-02-08,Mainz,Augsburg,1,0.10774499417561452,0.18851541096822214,0.7037395948561633,1.78,3.72,4.88,1.83,3.6,4.87
2425,2025-02-08,Wolfsburg,Leverkusen,1,0.5061060310683901,0.15664727484769891,0.33724669408391095,4.3,3.86,1.84,3.72,3.38,2.16
2425,2025-02-09,Kiel,Bochum,1,0.24880148041905423,0.23687527715794196,0.5143232424230038,2.31,3.54,3.15,2.4,3.49,3.09
2425,2025-02-09,RB Leipzig,St Pauli,2,0.10988993741404413,0.14066495730695597,0.7494451052789999,1.57,4.39,5.81,1.66,4.11,5.36
2425,2025-02-14,Augsburg,RB Leipzig,1,0.5705463470212939,0.18867580995058414,0.24077784302812194,3.02,3.41,2.48,3.09,3.4,2.44
2425,2025-02-15,Bochum,Dortmund,2,0.5561972906679008,0.21726384437636814,0.22653886495573108,4.98,4.27,1.66,5.77,4.48,1.57
2425,2025-02-15,Leverkusen,Bayern Munich,1,0.2870802313398938,0.3143553360391745,0.3985644326209317,3.08,3.71,2.27,3.11,3.56,2.35
2425,2025-02-15,St Pauli,Freiburg,0,0.3940184669825051,0.25843259604752783,0.34754893696996725,2.6,3.25,2.94,2.59,3.1,3.14
2425,2025-02-15,Stuttgart,Wolfsburg,0,0.1654998318285285,0.21344236990199478,0.6210577982694767,1.76,4.24,4.32,1.57,4.61,5.63
2425,2025-02-15,Union Berlin,M'gladbach,0,0.2952281575318975,0.36563952867602545,0.33913231379207703,2.28,3.57,3.18,2.16,3.59,3.48
2425,2025-02-16,Ein Frankfurt,Kiel,2,0.15339168138934975,0.16971326261849373,0.6768950559921566,1.34,5.94,8.04,1.34,5.71,8.82
2425,2025-02-16,Heidenheim,Mainz,0,0.4865766473685533,0.16306180656841368,0.3503615460630331,3.69,3.53,2.08,3.8,3.44,2.1
2425,2025-02-16,Werder Bremen,Hoffenheim,0,0.22377716452061516,0.4405721845338881,0.3356506509454968,1.9,4.04,3.8,1.88,3.88,4.2
2425,2025-02-21,Freiburg,Werder Bremen,2,0.304213583305249,0.17077193858661502,0.525014478108136,2.09,3.45,3.84,2.02,3.49,4.03
2425,2025-02-22,Dortmund,Union Berlin,2,0.14993038308208856,0.18120137266073047,0.6688682442571809,1.57,4.52,5.55,1.52,4.59,6.34
2425,2025-02-22,Kiel,Leverkusen,0,0.580964832412241,0.15675889205851126,0.2622762755292477,10.87,6.67,1.25,15.26,7.32,1.2
2425,2025-02-22,M'gladbach,Augsburg,0,0.33527473620714104,0.2035389258699492,0.4611863379229096,1.83,3.82,4.4,1.97,3.58,4.12
2425,2025-02-22,Mainz,St Pauli,2,0.11258820475007993,0.17127574892773356,0.7161360463221865,1.79,3.66,4.88,1.74,3.7,5.36
2425,2025-02-22,Wolfsburg,Bochum,1,0.22176342069120508,0.23404909989567743,0.5441874794131174,1.56,4.53,5.71,1.66,4.35,5.0
2425,2025-02-23,Bayern Munich,Ein Frankfurt,2,0.1509406759277304,0.10158095175913805,0.7474783723131316,1.3,6.5,8.28,1.26,6.85,10.75
2425,2025-02-23,Hoffenheim,Stuttgart,1,0.5348258302294404,0.19511983532839763,0.2700543344421621,3.63,3.96,1.97,3.43,3.94,2.07
2425,2025-02-23,RB Leipzig,Heidenheim,1,0.13285493478664026,0.21850500255304933,0.6486400626603104,1.35,5.61,8.22,1.31,5.91,10.15
2425,2025-02-28,Stuttgart,Bayern Munich,0,0.44767346923082,0.2742558262492222,0.27807070451995786,4.94,4.37,1.67,4.45,4.18,1.76
2425,2025-03-01,Bochum,Hoffenheim,0,0.31752764385034665,0.44842326786579384,0.23404908828385942,2.47,3.56,2.88,2.41,3.55,3.01
2425,2025-03-01,Ein Frankfurt,Leverkusen,0,0.48413566348965403,0.12785461419098856,0.3880097223193574,4.72,3.92,1.76,4.16,3.93,1.87
2425,2025-03-01,Heidenheim,M'gladbach,0,0.4229421832411105,0.22148946394399874,0.35556835281489085,3.1,3.62,2.3,2.73,3.43,2.7
2425,2025-03-01,RB Leipzig,Mainz,0,0.18616031388317628,0.19702261727593584,0.6168170688408878,2.02,3.76,3.66,1.93,3.76,4.07
2425,2025-03-01,St Pauli,Dortmund,0,0.48550798856887484,0.22868641138054244,0.2858056000505828,4.31,3.73,1.87,4.39,3.71,1.88
2425,2025-03-01,Werder Bremen,Wolfsburg,0,0.31929826523426,0.31572936195807894,0.364972372807661,2.72,3.55,2.61,3.13,3.52,2.36
2425,2025-03-02,Augsburg,Freiburg,1,0.3094110617370743,0.3294956788380498,0.3610932594248759,2.71,3.13,2.91,2.54,3.11,3.21
2425,2025-03-02,Union Berlin,Kiel,0,0.27473718488674836,0.24984478647273267,0.475418028640519,1.62,4.25,5.45,1.57,4.36,6.0
2425,2025-03-07,M'gladbach,Mainz,0,0.44870451114104437,0.21278694982030055,0.338508539038655,2.65,3.43,2.74,2.73,3.5,2.67
2425,2025-03-08,Bayern Munich,Bochum,0,0.07674111581991272,0.13260906679070858,0.7906498173893787,1.11,12.4,17.74,1.17,8.25,17.0
2425,2025-03-08,Dortmund,Augsburg,0,0.11120964335734104,0.10621281351910462,0.7825775431235542,1.55,4.42,6.05,1.41,4.87,8.32
2425,2025-03-08,Freiburg,RB Leipzig,1,0.3573094882537408,0.23379398520705438,0.4088965265392047,2.66,3.32,2.81,2.56,3.37,2.94
2425,2025-03-08,Kiel,Stuttgart,1,0.5079769138513502,0.2666825037173537,0.22534058243129612,5.89,4.71,1.52,6.23,4.82,1.51
2425,2025-03-08,Leverkusen,Werder Bremen,0,0.14957142317406932,0.13962859029486974,0.7107999865310609,1.27,6.39,10.17,1.33,5.74,9.49
2425,2025-03-08,Wolfsburg,St Pauli,1,0.13304524605923007,0.17637907722410817,0.6905756767166618,1.78,3.75,4.85,1.85,3.56,4.76
2425,2025-03-09,Ein Frankfurt,Union Berlin,0,0.1596252108944364,0.18713400044175268,0.6532407886638109,1.77,4.13,4.39,1.99,3.67,3.95
2425,2025-03-09,Hoffenheim,Heidenheim,1,0.18855205232035543,0.2793367236272704,0.5321112240523741,1.78,4.03,4.41,1.93,3.85,3.96
2425,2025-03-14,St Pauli,Hoffenheim,2,0.39490295082668486,0.21947583502175,0.3856212141515653,2.31,3.3,3.37,2.35,3.22,3.44
2425,2025-03-15,Augsburg,Wolfsburg,2,0.35107484235107067,0.26315376941424135,0.3857713882346879,2.63,3.29,2.87,2.48,3.28,3.13
2425,2025-03-15,Mainz,Freiburg,1,0.16492432101229104,0.25097503405287735,0.5841006449348316,2.02,3.45,4.0,1.86,3.54,4.74
2425,2025-03-15,RB Leipzig,Dortmund,2,0.24674305647060527,0.24853797716553921,0.5047189663638556,2.43,3.68,2.87,2.8,3.64,2.52
2425,2025-03-15,Union Berlin,Bayern Munich,1,0.6309421705360441,0.1874962076535906,0.18156162181036536,9.0,5.36,1.35,9.31,5.42,1.34
2425,2025-03-15,Werder Bremen,M'gladbach,0,0.2775482528959947,0.34637601080182856,0.37607573630217667,2.42,3.68,2.87,2.24,3.78,3.15
2425,2025-03-16,Bochum,Ein Frankfurt,0,0.4130522311875491,0.2230590403140818,0.3638887284983691,3.13,3.66,2.27,2.73,3.54,2.64
2425,2025-03-16,Heidenheim,Kiel,2,0.2381571613372923,0.2540577685370194,0.5077850701256883,2.03,3.66,3.72,2.05,3.63,3.77
2425,2025-03-16,Stuttgart,Leverkusen,0,0.4464385598418252,0.19494232777347462,0.3586191123847003,3.09,3.6,2.32,3.34,3.45,2.28
2425,2025-03-28,Leverkusen,Bochum,2,0.06749274855062666,0.1417095915426031,0.7907976599067703,1.23,6.93,11.71,1.23,7.02,12.77
2425,2025-03-29,Bayern Munich,St Pauli,2,0.11386211846666222,0.19187313616768095,0.6942647453656569,1.15,9.41,16.44,1.12,9.5,26.0
2425,2025-03-29,Ein Frankfurt,Stuttgart,2,0.284881290603865,0.2799878606847443,0.43513084871139074,2.6,3.67,2.66,2.58,3.79,2.67
2425,2025-03-29,Hoffenheim,Augsburg,1,0.2674170828552643,0.2054170371126495,0.5271658800320863,2.43,3.29,3.15,2.36,3.43,3.19
2425,2025-03-29,Kiel,Werder Bremen,0,0.28569245842365354,0.33911814007516544,0.37518940150118113,3.42,3.85,2.08,3.18,3.74,2.24
2425,2025-03-29,M'gladbach,RB Leipzig,2,0.3711079333109529,0.31741033515966116,0.31148173152938596,2.94,3.58,2.41,3.01,3.71,2.35
2425,2025-03-29,Wolfsburg,Heidenheim,0,0.1581159799136048,0.2434477191845551,0.5984363009018401,1.66,4.12,5.22,1.72,4.05,4.98
