model,method,policy,threshold,signal_count,unique_matches,roi,roi_ci_lo,roi_ci_hi,avg_odds,avg_edge,closing_price_edge,odds_clv,model_vs_close,max_drawdown,p_mean_signal,y_mean_realized,calibration_gap,share_home,share_draw,share_away
M2_Elo,uncalibrated,one_per,0.06,1164,1164,0.0250171821305842,-0.08304295532646049,0.14026589347079038,4.146649484536082,0.34520776826819743,-0.021914125722386706,-0.0035866248674454033,0.385565796370457,53.32,0.4652523682398188,0.35309278350515466,0.11215958473466414,0.711340206185567,0.000859106529209622,0.28780068728522334
M2_Elo,uncalibrated,one_per,0.07,1148,1148,0.02389372822299652,-0.07895317944250871,0.13087108013937276,4.139059233449478,0.34912309100610134,-0.021864584761927142,-0.003429618708092375,0.38958205599803386,51.31999999999999,0.4661020278660092,0.3519163763066202,0.11418565155938898,0.7134146341463414,0.0008710801393728223,0.2857142857142857
M2_Elo,uncalibrated,one_per,0.08,1130,1130,0.025150442477876095,-0.07795088495575221,0.13561393805309732,4.174929203539823,0.35347389406645,-0.021723905910196017,-0.0035076291659265875,0.39398276421101247,51.31999999999999,0.46312814055500656,0.3486725663716814,0.11445557418332514,0.7141592920353982,0.0008849557522123894,0.2849557522123894
M2_Elo,uncalibrated,one_per,0.1,1088,1088,0.025762867647058825,-0.08737660845588235,0.15500275735294117,4.239402573529411,0.36368608886558346,-0.021811468194673084,-0.003942290126092333,0.4047499767929917,49.58,0.4620760396791889,0.3446691176470588,0.1174069220321301,0.7113970588235294,0.0,0.28860294117647056
M2_Elo,platt,all,0.02,1533,1133,-0.0401761252446184,-0.1385590598865712,0.060922041617502705,5.361272015655577,0.3059747747077641,-0.020103947993772943,-0.005911465685862807,0.3416656112334469,79.29,0.2998218078728446,0.23352902804957598,0.06629277982326864,0.31180691454664056,0.28440965427266796,0.40378343118069143
M2_Elo,platt,all,0.03,1450,1085,-0.04235172413793104,-0.13850146636038055,0.05929480551606008,5.472013793103448,0.32206832255910967,-0.02043068012691262,-0.006868705427776981,0.3585067794036517,79.20999999999998,0.29757630228353577,0.22827586206896552,0.06930044021457024,0.3124137931034483,0.2793103448275862,0.40827586206896554
M2_Elo,platt,all,0.04,1374,1037,-0.033384279475982534,-0.13538640017074619,0.07542340601835222,5.583311499272197,0.33794580463178503,-0.019622803699767814,-0.006462160672906149,0.37409698513411765,81.83,0.2954289557663642,0.22780203784570596,0.06762691792065822,0.31368267831149926,0.27510917030567683,0.41120815138282385
M2_Elo,platt,all,0.05,1314,992,-0.03882039573820395,-0.14913017482517485,0.07823960888373545,5.683097412480974,0.3513315916601214,-0.019353578173658306,-0.006638006622637237,0.38774329628886683,85.19999999999999,0.2930347768544188,0.22298325722983256,0.07005151962458625,0.3112633181126332,0.2724505327245053,0.4162861491628615
M2_Elo,platt,all,0.06,1259,957,-0.024297061159650503,-0.13867866197740247,0.09710448475565975,5.775353455123113,0.3642959325139865,-0.018968287609122628,-0.006553232430501441,0.40069399234685166,70.92,0.2914996186150068,0.22398729150119143,0.06751232711381536,0.31374106433677523,0.2652899126290707,0.42096902303415407
M2_Elo,platt,all,0.07,1187,904,-0.04233361415332772,-0.16027134837366752,0.08358078524752756,5.910867733782645,0.38243246365594974,-0.019523204816334454,-0.007936803709555289,0.42011340694560895,74.75,0.2884807055893574,0.21398483572030327,0.07449586986905413,0.3142375737152485,0.2569502948609941,0.42881213142375735
