cut,value,n,roi,closing_price_edge,avg_odds,avg_edge,calib_gap,model,method
edge_bucket,0.10-0.20,246,0.023821138211382115,-0.01846620556477755,3.371382113821138,0.14801490297988645,0.04656426424951299,M4_LGBM,uncalibrated
edge_bucket,<=0.05,28,-0.29464285714285715,-0.033713016386792666,3.0182142857142855,0.045540544223583515,0.09599450323735553,M4_LGBM,uncalibrated
class,all,1135,-0.04973568281938327,-0.019030878518762707,5.423533039647577,0.6087169243026122,0.10727448996211109,M4_LGBM,platt
class,home,370,0.21456756756756756,-0.015519700697126763,4.680108108108108,0.44698940011500726,0.05429657301241719,M4_LGBM,platt
class,draw,33,-0.17757575757575755,-0.0023293911577294477,3.9560606060606065,0.12012064724877158,0.07204532103840758,M4_LGBM,platt
class,away,732,-0.17756830601092896,-0.021558590099253695,5.8654644808743175,0.7124913247017796,0.13564114548925443,M4_LGBM,platt
odds_bucket,6.0+,311,-0.03697749196141479,0.0007691617880786681,10.141061093247588,1.462101408424445,0.1492761913710006,M4_LGBM,platt
odds_bucket,3.5-6.0,430,-0.0431860465116279,-0.019868664231775593,4.4369069767441855,0.3739708514528998,0.09230740291682427,M4_LGBM,platt
odds_bucket,2.0-3.5,374,-0.07315508021390374,-0.03250955876252021,2.824705882352941,0.19720661910183493,0.09384917848504803,M4_LGBM,platt
odds_bucket,1.0-2.0,20,0.048999999999999974,-0.05685779190210381,1.8765,0.08087146973146297,0.026993729148624634,M4_LGBM,platt
edge_bucket,>0.20,758,-0.05993403693931399,-0.01554404145723587,6.5622691292876,0.8550682460983062,0.13726180706225088,M4_LGBM,platt
edge_bucket,0.05-0.10,131,-0.13572519083969467,-0.030914426996734853,2.967557251908397,0.07546770751325478,0.0817422056838169,M4_LGBM,platt
edge_bucket,<=0.05,30,-0.05533333333333331,-0.022490224141332553,2.9783333333333335,0.044566864044903315,0.0094911889980408,M4_LGBM,platt
edge_bucket,0.10-0.20,216,0.03898148148148149,-0.0235794770064752,3.2565277777777775,0.1459662172933573,0.031107091385595753,M4_LGBM,platt
class,all,1152,-0.028498263888888892,-0.025890871207782034,4.584340277777778,0.4969956750586011,0.1219069575509441,M4_LGBM,isotonic
class,home,279,0.18763440860215055,-0.025872133870102967,3.910071684587814,0.3748332884983021,0.07592784475703723,M4_LGBM,isotonic
class,draw,212,0.07867924528301888,-0.015254158898901008,5.200424528301886,0.4731336306625759,0.06883513416228526,M4_LGBM,isotonic
