model,policy,threshold,signal_count,roi,roi_ci_lo,roi_ci_hi,avg_odds,avg_edge,closing_price_edge,odds_clv,model_vs_close,max_drawdown,p_mean_signal,y_mean_realized,calibration_gap,share_home,share_draw,share_away
M3_LGBM_midweek,one_per,0.02,1145,-0.046681222707423586,-0.15537882096069872,0.07714104803493449,5.2896331877729255,0.5782374898757536,-0.014345782393430359,-0.000454843743717207,0.6135296461711597,100.56000000000002,0.34363744812135355,0.2331877729257642,0.11044967519558935,0.5170305676855895,0.11266375545851529,0.3703056768558952
M3_LGBM_midweek,one_per,0.03,1121,-0.04140053523639608,-0.15949620874219447,0.07955508474576273,5.340758251561106,0.5900785484088658,-0.014322952866274618,-0.0006930542013001012,0.6257106194064254,101.03999999999999,0.3428165534648172,0.231935771632471,0.1108807818323462,0.5173951828724354,0.10883140053523639,0.37377341659232827
M3_LGBM_midweek,one_per,0.04,1093,-0.03405306495882891,-0.1549650045745654,0.09208462946020125,5.390786825251601,0.6043088050686364,-0.014568174545798356,-0.001146301631042709,0.6405933231578025,91.29,0.34295021255345476,0.23147301006404392,0.11147720248941084,0.5224153705397987,0.10612991765782251,0.37145471180237877
M3_LGBM_midweek,one_per,0.05,1057,-0.033812677388836324,-0.15953051087984865,0.10668353831598862,5.465685903500472,0.6233323178732773,-0.014737694598197026,-0.0016472202992204436,0.6603718726934503,92.02000000000001,0.3423393149120242,0.22705771050141912,0.11528160441060506,0.5241248817407758,0.09933774834437085,0.37653736991485337
M3_LGBM_midweek,one_per,0.06,1030,-0.023077669902912618,-0.15514514563106793,0.10774951456310679,5.521873786407767,0.6382139304348713,-0.014583672404982252,-0.0016241854715383424,0.6755096702824804,84.96999999999997,0.3423708128665894,0.22815533980582525,0.11421547306076413,0.5271844660194175,0.0941747572815534,0.3786407766990291
M3_LGBM_midweek,one_per,0.07,1008,-0.018472222222222227,-0.15383010912698414,0.11568799603174604,5.578452380952381,0.6507452833974937,-0.01386209035895256,-0.0009158715515859032,0.6875321760034604,81.43999999999998,0.3411987248638043,0.22718253968253968,0.11401618518126463,0.5257936507936508,0.09226190476190477,0.3819444444444444
M3_LGBM_midweek,one_per,0.08,981,-0.003343527013251778,-0.1390354230377166,0.12626732925586134,5.642283384301733,0.6665982371803723,-0.01342379054513209,-0.0007807905173440101,0.7033101987240341,69.43999999999998,0.3404566985939978,0.22935779816513763,0.11109890042886017,0.5290519877675841,0.0835881753312946,0.3873598369011213
M3_LGBM_midweek,one_per,0.1,925,-0.006659459459459471,-0.1421408108108108,0.13961270270270265,5.781145945945946,0.7015014017293474,-0.013553516996276964,-0.0010989078392696322,0.7394180321463213,65.67999999999999,0.3400533436844171,0.22378378378378377,0.11626955990063331,0.5372972972972972,0.07891891891891892,0.3837837837837838
M4_LGBM,all,0.02,1693,-0.0538629651506202,-0.14862079149438864,0.05061887182516241,5.351683402244536,0.5030172542660156,-0.015676288145172856,-1.9395914819834198e-05,0.5373664837192624,103.62999999999998,0.3139255761363624,0.22031896042528057,0.09360661571108184,0.3638511518015357,0.3496751329001772,0.2864737152982871
M4_LGBM,all,0.03,1646,-0.056567436208991496,-0.15096126974483595,0.053255923450789756,5.408456865127582,0.5166711628801876,-0.015507503295075152,-1.4683861677703819e-05,0.551299199240661,109.17999999999995,0.31342889482451186,0.21628189550425272,0.09714699932025914,0.3663426488456865,0.3456865127582017,0.28797083839611176
