season,date,home_team,away_team,y,dc_p_away,dc_p_draw,dc_p_home,elo_p_away,elo_p_draw,elo_p_home,ps_open_home,ps_open_draw,ps_open_away,ps_close_home,ps_close_draw,ps_close_away
2425,2024-11-30,RB Leipzig,Wolfsburg,0,0.1312186388524447,0.21874978882609328,0.650031572321462,0.13450399651760117,0.05684753137804624,0.8086484721043526,1.7,4.17,4.8,1.79,3.89,4.64
2425,2024-11-30,Union Berlin,Leverkusen,0,0.5005746247364032,0.2796002169946955,0.2198251582689012,0.6529535893815465,0.11140407993226457,0.23564233068618903,4.72,3.84,1.78,4.88,3.47,1.9
2425,2024-11-30,Werder Bremen,Stuttgart,1,0.3852173266098394,0.2754817930262261,0.3393008803639346,0.44054400786622366,0.21696578640791395,0.3424902057258625,3.02,3.75,2.3,2.57,3.56,2.8
2425,2024-12-01,Heidenheim,Ein Frankfurt,0,0.31141296270382096,0.2743472207270927,0.41423981656908626,0.44182195708170185,0.21616091124189563,0.34201713167640263,3.85,3.73,1.97,4.09,3.54,1.99
2425,2024-12-01,Mainz,Hoffenheim,2,0.31607757925846425,0.2657526385156838,0.41816978222585194,0.2546774187300284,0.12452444304052003,0.6207981382294515,2.08,3.7,3.53,2.15,3.57,3.52
2425,2024-12-06,Stuttgart,Union Berlin,2,0.20645032241424444,0.27249767476410025,0.5210520028216554,0.1753561061171039,0.07658423746898836,0.7480596564139078,1.84,3.61,4.78,1.93,3.51,4.42
2425,2024-12-07,Bayern Munich,Heidenheim,2,0.08715314236465131,0.14693484245775731,0.7659120151775914,0.07536855461379156,0.05,0.8746314453862084,1.09,14.33,22.78,1.11,11.25,24.0
2425,2024-12-07,Bochum,Werder Bremen,0,0.3776142623011438,0.2754081998772342,0.34697753782162205,0.46035243263678577,0.20478682306027626,0.33486074430293805,3.21,3.59,2.25,3.62,3.8,2.05
2425,2024-12-07,Ein Frankfurt,Augsburg,1,0.19381960712940774,0.2477073060791245,0.5584730867914678,0.1518461510759334,0.06494035355777686,0.7832134953662897,1.56,4.43,5.91,1.54,4.4,6.39
2425,2024-12-07,Kiel,RB Leipzig,0,0.297,0.253,0.45,0.6558501418379968,0.11025955357342825,0.2338903045885749,5.49,4.42,1.59,6.95,4.91,1.46
2425,2024-12-07,Leverkusen,St Pauli,2,0.297,0.253,0.45,0.07718433368325163,0.05,0.8728156663167483,1.24,6.76,11.47,1.28,6.06,11.8
2425,2024-12-07,M'gladbach,Dortmund,1,0.5003120137144115,0.22960299291390093,0.27008499337168757,0.4797878495774085,0.19342034621755091,0.3267918042050406,3.24,3.87,2.14,3.45,3.88,2.08
2425,2024-12-08,Hoffenheim,Freiburg,1,0.2764305821654305,0.25195631535041596,0.47161310248415367,0.34148114462439705,0.21525775684338222,0.44326109853222073,2.73,3.45,2.54,2.51,3.3,3.07
2425,2024-12-08,Wolfsburg,Mainz,2,0.25452735279375277,0.28954960816931896,0.4559230390369284,0.3212313286036451,0.18628397800604302,0.49248469339031187,2.15,3.34,3.5,2.13,3.45,3.72
2425,2024-12-13,Freiburg,Wolfsburg,2,0.27946717348916045,0.2861211482694238,0.43441167824141586,0.2996722762502239,0.1624450921795053,0.5378826315702707,2.26,3.45,3.38,2.32,3.46,3.25
2425,2024-12-14,Augsburg,Leverkusen,0,0.5757693127830765,0.24208224591600092,0.18214844130092256,0.7238629060039761,0.08494776958546738,0.19118932441055655,5.59,4.28,1.6,6.3,4.09,1.59
2425,2024-12-14,M'gladbach,Kiel,2,0.297,0.253,0.45,0.2047830352766098,0.09252511047807292,0.7026918542453173,1.46,4.89,6.75,1.43,5.29,7.5
2425,2024-12-14,Mainz,Bayern Munich,2,0.6043263412215374,0.2198555040340583,0.17581815474440435,0.5936980458951201,0.13622100677290205,0.27008094733197796,6.86,4.87,1.46,6.26,4.59,1.53
